Rank;﻿Country Name (English);Language(s);Country Name (Native Tongue)
1;Afghanistan;Dari, Pashto;Afghanestan
2;Albania;Albanian;Shqipëria
3;Algeria;Arabic, Berber;Dzayer
4;Andorra;Catalan;Andorra
5;Angola;Kongo, Portuguese;Angola
6;Antigua and Barbuda;English;Antigua and Barbuda
7;Argentina;Spanish;Argentina
8;Armenia;Armenian;Hayastán
9;Australia;English;Australia
10;Austria;German;Österreich
11;Azerbaijan;Azerbaijani;Azərbaycan
12;The Bahamas;English;The Bahamas
13;Bahrain;Arabic, Berber;Al-Bahrayn
14;Bangladesh;Bengali;Bangladesh
15;Barbados;English;Barbados
16;Belarus;Belarusian;Bielaruś, Беларусь
17;Belgium;Dutch, French, German;België, Belgique, Belgien
18;Belize;English;Belize
19;Benin;French;Bénin
20;Bhutan;Dzongkha;Druk Yul
21;Bolivia;Aymara, Guaraní, Quechua, Spanish;Bolivia
22;Bosnia and Herzegovina;Bosnian, Serbian, Croatian;Bosnia I Hercegovína
23;Botswana;English, Tswana;Botswana
24;Brazil;Portuguese;Brasil
25;Brunei;Malay;Brunei
26;Bulgaria;Bulgarian;Bulgariya,
27;Burkina Faso;French;Burkina Faso
28;Burundi;French, Kirundi;Burundi, Uburundi
29;Cambodia;Khmer;Kampuchea
30;Cameroon;English, French;Cameroon
31;Canada;English, French;Canada
32;Cape Verde;Portuguese;Cabo Verde
33;Central African Republic;French, sango;République Centrafricaine
34;Chad;Arabic, French;Tchad
35;Chile;Spanish;Chile
36;China;Mandarin Chinese;Zhōngguó
37;Colombia;Spanish;Colombia
38;Comoros;Arabic, French, Shikomor;Comores Koromi
39;Republic of the Congo;French, Lingala;République du Congo
40;Democratic Republic of the Congo;French, Lingala, Swahili;République démocratique du Congo
41;Costa Rica;Spanish;Costa Rica
42;'Côte d''Ivoire';French;'Côte d''Ivoire'
43;Croatia;Croatian;Hrvatska
44;Cuba;Spanish;Cuba
45;Cyprus;Greek, Turkish;Κύπρος Kıbrıs
46;Czech;Czech;Česko
47;Denmark;Danish;Danmark
48;Djibuti;Arabic, French;Djibouti
49;Dominica Republic;Spanish;República Dominicana
50;East Timor;Portuguese, Tetum;Timor-Lester
51;Ecuador;Spanish;Ecuador
52;Egypt;Arabic;Misr
53;El Salvador;Spanish;El Salvador
54;Equatorial Guinea;Spanish;Guinea Ecuatorial
55;Eritrea;Arabic, Tigrinya;Iritriya
56;Estonia;Estonian;Eesti
57;Eswatini;English, Swazi;Eswatini
58;Ethiopia;Amharic;'Ityop''ia'
59;Fiji;English, Fijian, Fiji Hindi;Fiji
60;Finland;Finnish, Swedish;Suomi
61;France;French;France
62;Gabon;French;République gabonaise
63;The Gambia;English;The Gambia
64;Georgia;Georgian;'Sak''art''velo'
65;Germany;German;Deutschland
66;Ghana;Akan, English, Ewe, Twi;Gaana
67;Greece;Greek;Hellas Ελλάς
68;Grenada;English;Grenada
69;Guatemala;Spanish;Guatemala
70;Guinea;French, Manika, Pular;Guinée
71;Guyana;English;Guyana
72;Haiti;French, Haitian Creole;Haïti
73;Honduras;Spanish;Honduras
74;Hong Kong;English, Cantonese;Hong Kong
75;Hungary;Hungarian;Magyarország
76;Iceland;Icelandic;Ísland
77;India;Assamese, Bengali, English, Hindi, Kannada, Konkai, Malayalam, Marthi, Nepalese, Oriya, Punjabi, Sanskrit, Tamil, Telugu;Bharôt
78;Indonesia;Bahasa Indonesia;Indonesia
79;Iran;Persian;Īrān
80;Iraq;Arabic, Kurdish;'Al-''Iraq'
81;Ireland;English, Irish;Ireland
82;Israel;Arabic, Hebrew;Israʼiyl
83;Italy;Italian;Italia
84;Jamaica;English;Jamaica
85;Japan;Japanese;Nippon
86;Jordan;Arabic;'Al-''Urdun'
87;Kazakhstan;Kazakh, Russian;Qazaqsta
88;Kenya;English, Swahili;Kenya
89;North Korea;Korean;Chosŏn Bukchosŏn
90;South Korea;Korean;Hanguk
91;Kosovo;Albanian, Serbian;Kosova
92;Kuwait;Arabic;Dawlat ul-Kuwayt
93;Kyrgyzstan;Kyrgyz, Russian;Kyrgyzstan
94;Laos;Lao;Lao
95;Latvia;Latvia;Latvija
96;Lebanon;Arabic, French;Lubnān
97;Lesotho;English, Sesotho;Lesotho
98;Libya;Berber, Arabic;Libya
99;Liechtenstein;German;Liechtenstein
100;Lithuania;Lithuanian;Lietuva
101;Luxembourg;French, German, Luxembourgish;Luxembourg
102;Madagascar;French, Malagasy;Madagascar
103;Malawi;Chichewa, English;Malaŵi
104;Malaysia;Mandarin Chinese, Malay, Tamil;Mǎláixīyà
105;Maldives;Dhivehi;Dhivehi Raajje
106;Mali;Bambara, French;Mali
107;Malta;English, Maltese;Malta
108;Marshall Islands;English, Marshallese;Marshall Islands
109;Mauritania;Arabic, Berer;Muritan
110;Mauritius;English, French, Mauritian Creole;Mauritius
111;Mexico;Nahuatl, Spanish;Mēxihco
112;Federated States of Micronesia;English;Federated States of Micronesia
113;Moldova;Romanian;Moldova
114;Monaco;French, Monégasque;Monaca
115;Mongolia;Mongolia;Mongol Uls
116;Montenegro;Montenegrin;Crna Gora
117;Morocco;Arabic, Berber;Al-maɣréb
118;Mozambique;Portuguese;Moçambique
119;Myanmar;Burmese;Myanma
120;Namibia;Afrikaans, Engish, Damara, German, Herero;Namibia
121;Nepal;Davanagari, Nepalese;Nepāl
122;The Netherlands;Dutch, West Frisian;Nederland
123;New Zealand;English, Māori;New Zealand
124;Nicaragua;Spanish;Nicaragua
125;Niger;French;Niger
126;Nigeria;English, Hausa, Igbo, Yoruba;Nigeria
127;North Macedonia;Macedonian;Severna Makedonija
128;Norway;Norwegian;Norge
129;Oman;Arabic;‘Umān
130;Pakistan;English, Urdu;Pākistān
131;Palau;English, Palauan;Palau
132;Palestine;Arabic;Filasṭīn
133;Panama;Spanish;Panamá
134;Papua New Guinea;English, Hiri Motu, Tok Pisin;Papua New Guinea
135;Paraguay;Guaraní, Spanish;Paraguái
136;Peru;Aymara, Spanish;Piruw
137;Philippines;English, Filipino;Philippines
138;Poland;Polish;Polska
139;Portugual;Portuguese;Portugal
140;Qatar;Arabic;Qaṭar
141;Romania;Romanian;România
142;Russia;Russian;Россия
143;Rwanda;English, French, Kinyarwanda, Swahili;Rwanda
144;Saint Kitts and Nevis;English;Saint Kitts and Nevis
145;Saint Lucia;English;Saint Lucia
146;Saint Vincent and the Grenadines;English;Saint Vincent and the Grenadines
147;Samoa;English, Samoan;Samoa
148;San Marino;Italian;San Marino
149;São Tomé and Principe;Portuguese;São Tomé e Principe
150;Saudi Arabia;Arabic;Al-‘Arabiyyah as Sa‘ūdiyyah 
151;Senegal;French;Sénégal
152;Serbia;Serbian;Srbija Србија
153;Seychelles;English, French, Seychellois Creole;Seychelles
154;Sierra Leone;English;Sierra Leone
155;Singapore;English, Malay, Mandarin Chinese, Tamil;Singapore
156;Slovakia;Slovak;Slovensko
157;Slovenia;Slovene;Slovenija
158;Solomon Islands;Englih, Neo-Solomonic;Solomon Islands
159;Somalia;Arabic, Somali;Soomaaliya aş-Şūmāl,
160;South Africa;Afrikaans, English, isiZulu, isiXhoas, Pedi, Sotho, Tswana, Venda, Tsonga, Swazi, Ndebele;Suid-Afrika
161;South Sudan;English, Dinka, Swahili;South Sudan
162;Spain;Spanish, Catalan, Basque;España
163;Sri Lanka;Sinhala, Tamil;Sri Lankā  
164;Sudan;Arabic;As-Sudan
165;Sweden;Swedish;Sverige
166;Switzerland;French, German, Italian, Romansh;Suisse
167;Syria;Arabic;Suriyah
168;Tajikistan;Tajiki-Persian;Tojikistan
169;Tanzania;English, Swahili;Tanzania
170;Thailand;Thai;Mueang Thai
171;Togo;Ewe, French, Kabiye;Togo
172;Tonga;English, Tongan;Tonga
173;Trinidad and Tobago;English;Trinidad and Tobago
174;Tunisia;Arabic,Berber;Tunes
175;Turkmenistan;Turkmen;Türkiye
176;Tuvalu;English, Tuvaluan;Tuvalu
177;Uganda;Enlish, Swahili;Uganda
178;Ukraine;Ukrainian;Україна
179;United Arab Emirates;Arabic;Al-’Imārat
180;United Kingdom;English, Welsh, Scots, Irish;United Kingdom
181;United States;English, Spanish;United States
182;Uruguay;Spanish;Uruguay
183;Uzbekistan;Uzbek;O‘zbekiston
184;Vanuatu;French;Vanuatu
185;Vatican City;Italian, latin;Città del Vaticano
186;Venezuela;Spanish;Venezuela
187;Vietnam;Vietnamese;Việt Nam
188;Yemen;Arabic;Al-Yaman
189;Zambia;Bemba, Chewa, English;Zambia
190;Zimbabwe;English, Shona;Zimbabwe
